# 総当り(H&A) 全172クラブ / 90試合 / DT=0.1 / 26s

## リーグ全体シュート成功率
FG 914/2098 (43.6%)  |  3P 68/299 (22.7%)  |  2P(含レイアップ/ダンク) 846/1799 (47.0%)  |  FT 153/173 (88.4%)

## チーム順位 (勝-敗[-分], 得失点差)
  1. アーセナル              67-21-2  diff +283  (PF 1166 / PA 883, 90g)
  2. サンプドリア             1-0  diff +11  (PF 17 / PA 6, 1g)
  3. デポルティーボ            1-0  diff +9  (PF 15 / PA 6, 1g)
  4. レッチェ               1-0  diff +7  (PF 15 / PA 8, 1g)
  5. バルセロナ              1-0  diff +7  (PF 17 / PA 10, 1g)
  6. エヴァートン             1-0  diff +6  (PF 16 / PA 10, 1g)
  7. リヨン                1-0  diff +6  (PF 15 / PA 9, 1g)
  8. ウォルバーハンプトン         1-0  diff +5  (PF 16 / PA 11, 1g)
  9. カリアリ               1-0  diff +5  (PF 14 / PA 9, 1g)
 10. モンペリエSC            1-0  diff +5  (PF 11 / PA 6, 1g)
 11. マンチェスター・U          1-0  diff +4  (PF 12 / PA 8, 1g)
 12. リヴァプール             1-0  diff +4  (PF 14 / PA 10, 1g)
 13. ウディネーゼ             1-0  diff +4  (PF 19 / PA 15, 1g)
 14. ヘタフェ               1-0  diff +4  (PF 12 / PA 8, 1g)
 15. NACブレダ             1-0  diff +4  (PF 10 / PA 6, 1g)
 16. マルセイユ              1-0  diff +4  (PF 10 / PA 6, 1g)
 17. オサスナ               1-0  diff +3  (PF 9 / PA 6, 1g)
 18. ボルトン               1-0  diff +2  (PF 12 / PA 10, 1g)
 19. ブラックプール            1-0  diff +2  (PF 12 / PA 10, 1g)
 20. アヤックス              1-0  diff +2  (PF 13 / PA 11, 1g)
 21. マジョルカ              1-0  diff +1  (PF 13 / PA 12, 1g)
 22. VVVフェンロ            1-0  diff +1  (PF 15 / PA 14, 1g)
 23. ACミラン              0-0-1  diff +0  (PF 15 / PA 15, 1g)
 24. ユベントス              0-0-1  diff +0  (PF 14 / PA 14, 1g)
 25. OGCニース             0-0  diff +0  (PF 0 / PA 0, 0g)
 26. ボルドー               0-0  diff +0  (PF 0 / PA 0, 0g)
 27. ソショー               0-0  diff +0  (PF 0 / PA 0, 0g)
 28. RCランス              0-0  diff +0  (PF 0 / PA 0, 0g)
 29. ASナンシー             0-0  diff +0  (PF 0 / PA 0, 0g)
 30. スタード・ブレストワ         0-0  diff +0  (PF 0 / PA 0, 0g)
 31. ロリアン               0-0  diff +0  (PF 0 / PA 0, 0g)
 32. AJオセール             0-0  diff +0  (PF 0 / PA 0, 0g)
 33. ASモナコ              0-0  diff +0  (PF 0 / PA 0, 0g)
 34. トゥールーズ             0-0  diff +0  (PF 0 / PA 0, 0g)
 35. ACアルル              0-0  diff +0  (PF 0 / PA 0, 0g)
 36. スタード・レンヌ           0-0  diff +0  (PF 0 / PA 0, 0g)
 37. ベンフィカ              0-0  diff +0  (PF 0 / PA 0, 0g)
 38. FCポルト              0-0  diff +0  (PF 0 / PA 0, 0g)
 39. オリンピアコス            0-0  diff +0  (PF 0 / PA 0, 0g)
 40. フェネルバフチェ           0-0  diff +0  (PF 0 / PA 0, 0g)
 41. レンジャース             0-0  diff +0  (PF 0 / PA 0, 0g)
 42. パナシナイコス            0-0  diff +0  (PF 0 / PA 0, 0g)
 43. ペジクタシュ             0-0  diff +0  (PF 0 / PA 0, 0g)
 44. スポルティング・CP         0-0  diff +0  (PF 0 / PA 0, 0g)
 45. CFRクルージュ           0-0  diff +0  (PF 0 / PA 0, 0g)
 46. ディナモ・ザグレブ          0-0  diff +0  (PF 0 / PA 0, 0g)
 47. ディナモ・キエフ           0-0  diff +0  (PF 0 / PA 0, 0g)
 48. ウニレア・ウルジチェニ        0-0  diff +0  (PF 0 / PA 0, 0g)
 49. レッドスター             0-0  diff +0  (PF 0 / PA 0, 0g)
 50. セルティック             0-0  diff +0  (PF 0 / PA 0, 0g)
 51. CAコロン              0-0  diff +0  (PF 0 / PA 0, 0g)
 52. ベレス・サルスフィエルド       0-0  diff +0  (PF 0 / PA 0, 0g)
 53. エストゥディアンテス・LP      0-0  diff +0  (PF 0 / PA 0, 0g)
 54. CAバンフィエルド          0-0  diff +0  (PF 0 / PA 0, 0g)
 55. リーベル・プレート          0-0  diff +0  (PF 0 / PA 0, 0g)
 56. ニューウェルズ・OB         0-0  diff +0  (PF 0 / PA 0, 0g)
 57. ボカ・ジュニオルス          0-0  diff +0  (PF 0 / PA 0, 0g)
 58. コリンチャンス            0-0  diff +0  (PF 0 / PA 0, 0g)
 59. フラメンゴ              0-0  diff +0  (PF 0 / PA 0, 0g)
 60. サン・パウロFC           0-0  diff +0  (PF 0 / PA 0, 0g)
 61. SCブラガ              0-0  diff +0  (PF 0 / PA 0, 0g)
 62. クルゼイロ              0-0  diff +0  (PF 0 / PA 0, 0g)
 63. モナルカス・モレリア         0-0  diff +0  (PF 0 / PA 0, 0g)
 64. サン・ルイスFC           0-0  diff +0  (PF 0 / PA 0, 0g)
 65. CFモンテレイ            0-0  diff +0  (PF 0 / PA 0, 0g)
 66. CDグアダラハラ           0-0  diff +0  (PF 0 / PA 0, 0g)
 67. エストゥディアンテス・TC      0-0  diff +0  (PF 0 / PA 0, 0g)
 68. クラブ・ナシオナル(U)       0-0  diff +0  (PF 0 / PA 0, 0g)
 69. RCモンテビデオ           0-0  diff +0  (PF 0 / PA 0, 0g)
 70. CAセロ               0-0  diff +0  (PF 0 / PA 0, 0g)
 71. ウニベルシダ・デ・チリ        0-0  diff +0  (PF 0 / PA 0, 0g)
 72. ウニベルシダ・カトリカ        0-0  diff +0  (PF 0 / PA 0, 0g)
 73. CSDコロ・コロ           0-0  diff +0  (PF 0 / PA 0, 0g)
 74. クラブ・リベルタ           0-0  diff +0  (PF 0 / PA 0, 0g)
 75. クラブ・ナシオナル(P)       0-0  diff +0  (PF 0 / PA 0, 0g)
 76. セロ・ポルテーニョ          0-0  diff +0  (PF 0 / PA 0, 0g)
 77. ウニベルシタリオ・D         0-0  diff +0  (PF 0 / PA 0, 0g)
 78. アリアンサ・リマ           0-0  diff +0  (PF 0 / PA 0, 0g)
 79. ファン・アウリチ           0-0  diff +0  (PF 0 / PA 0, 0g)
 80. クラブ・ブルーミング         0-0  diff +0  (PF 0 / PA 0, 0g)
 81. レアル・ポトシ            0-0  diff +0  (PF 0 / PA 0, 0g)
 82. クラブ・ボリバル           0-0  diff +0  (PF 0 / PA 0, 0g)
 83. スパルタク・モスクワ         0-0  diff +0  (PF 0 / PA 0, 0g)
 84. ゼニト                0-0  diff +0  (PF 0 / PA 0, 0g)
 85. ルビン・カザン            0-0  diff +0  (PF 0 / PA 0, 0g)
 86. PAOKテッサロニキ         0-0  diff +0  (PF 0 / PA 0, 0g)
 87. AEKアテネ             0-0  diff +0  (PF 0 / PA 0, 0g)
 88. アトレチコ・ジュニオール       0-0  diff +0  (PF 0 / PA 0, 0g)
 89. オンセ・カルダス           0-0  diff +0  (PF 0 / PA 0, 0g)
 90. スパルタ・プラハ           0-0  diff +0  (PF 0 / PA 0, 0g)
 91. スラビア・プラハ           0-0  diff +0  (PF 0 / PA 0, 0g)
 92. ブレーメン              0-0  diff +0  (PF 0 / PA 0, 0g)
 93. バイエルン・ミュンヘン        0-0  diff +0  (PF 0 / PA 0, 0g)
 94. クラブ・ブルージュ          0-0  diff +0  (PF 0 / PA 0, 0g)
 95. アンデルレヒト            0-0  diff +0  (PF 0 / PA 0, 0g)
 96. シャフタール・ドネツク        0-0  diff +0  (PF 0 / PA 0, 0g)
 97. CSエメルク             0-0  diff +0  (PF 0 / PA 0, 0g)
 98. FCバーゼル             0-0  diff +0  (PF 0 / PA 0, 0g)
 99. AIKソルナ             0-0  diff +0  (PF 0 / PA 0, 0g)
100. FCコペンハーゲン          0-0  diff +0  (PF 0 / PA 0, 0g)
101. ガラタサライ             0-0  diff +0  (PF 0 / PA 0, 0g)
102. ローゼンボリ             0-0  diff +0  (PF 0 / PA 0, 0g)
103. HJKヘルシンキ           0-0  diff +0  (PF 0 / PA 0, 0g)
104. カラカスFC             0-0  diff +0  (PF 0 / PA 0, 0g)
105. ディナモ・ブカレスト         0-0  diff +0  (PF 0 / PA 0, 0g)
106. フルハム               0-1  diff -1  (PF 6 / PA 7, 1g)
107. ASローマ              0-1  diff -1  (PF 11 / PA 12, 1g)
108. バーリ                0-1  diff -1  (PF 12 / PA 13, 1g)
109. AZアルクマール           0-1  diff -1  (PF 9 / PA 10, 1g)
110. マンチェスター・C          0-1  diff -2  (PF 11 / PA 13, 1g)
111. ウェストブロムウィッチ        0-1  diff -2  (PF 8 / PA 10, 1g)
112. ウエスト・ハム・U          0-1  diff -2  (PF 14 / PA 16, 1g)
113. ナポリ                0-1  diff -2  (PF 10 / PA 12, 1g)
114. フィオレンティーナ          0-1  diff -2  (PF 12 / PA 14, 1g)
115. キエーヴォ              0-1  diff -2  (PF 16 / PA 18, 1g)
116. エスパニョール            0-1  diff -2  (PF 14 / PA 16, 1g)
117. ビジャレアル             0-1  diff -2  (PF 15 / PA 17, 1g)
118. ラシン・サンタンデール        0-1  diff -2  (PF 10 / PA 12, 1g)
119. パリ・サンジェルマン         0-1  diff -2  (PF 11 / PA 13, 1g)
120. バーミンガム・シティ         0-1  diff -3  (PF 9 / PA 12, 1g)
121. ストーク・シティ           0-1  diff -3  (PF 8 / PA 11, 1g)
122. ボローニャ              0-1  diff -3  (PF 10 / PA 13, 1g)
123. パルマ                0-1  diff -3  (PF 9 / PA 12, 1g)
124. エルクレス              0-1  diff -3  (PF 10 / PA 13, 1g)
125. バレンシア              0-1  diff -3  (PF 11 / PA 14, 1g)
126. デポルティボ・タチラ         0-1  diff -3  (PF 11 / PA 14, 1g)
127. レバンテ               0-1  diff -3  (PF 4 / PA 7, 1g)
128. デ・フラーフスハプ          0-1  diff -3  (PF 9 / PA 12, 1g)
129. ウィガン               0-1  diff -4  (PF 6 / PA 10, 1g)
130. インテル               0-1  diff -4  (PF 11 / PA 15, 1g)
131. レアル・サラゴサ           0-1  diff -4  (PF 11 / PA 15, 1g)
132. アトレチコ・マドリッド        0-1  diff -4  (PF 14 / PA 18, 1g)
133. アルメリア              0-1  diff -4  (PF 8 / PA 12, 1g)
134. ヴァランシアンヌ           0-1  diff -4  (PF 11 / PA 15, 1g)
135. ラツィオ               0-1  diff -5  (PF 8 / PA 13, 1g)
136. カターニャ              0-1  diff -5  (PF 6 / PA 11, 1g)
137. チェゼーナ              0-1  diff -5  (PF 10 / PA 15, 1g)
138. PSVアイントホーヘン        0-1  diff -5  (PF 10 / PA 15, 1g)
139. FCトゥウェンテ           0-1  diff -5  (PF 8 / PA 13, 1g)
